stop_id,stop_code,stop_name
747,1238,LESLIE ST AT COMMISSIONERS ST
748,1981,16 THE DONWAY EAST - OPPOSITE DON MILLS COLLEGIATE
749,8500,VICTORIA PARK AVE AT SLOANE AVE
750,5602,1915 MARTIN GROVE RD
751,62,AVENUE RD AT DUPONT ST
752,3590,FINCH AVE WEST AT ENDELL ST
753,9237,SHORNCLIFFE AVE AT NORTH QUEEN ST
754,3697,HIGH PARK AVE AT GLENLAKE AVE
755,6202,THE WESTWAY AT SUN ROW DR EAST SIDE
756,5932,OCONNOR DR AT RALSTON AVE WEST SIDE
757,8177,ST CLAIR AVE WEST AT OAKWOOD AVE
758,2644,FINCH AVE WEST AT WOODBINE DOWNS BLVD
759,2332,EGLINTON AVE WEST AT BLACKTHORN AVE
760,3244,YONGE ST AT SHUTER ST
761,9341,DUFFERIN ST AT DUFFERIN PARK AVE
763,5544,MAPLE LEAF DR AT CULFORD RD
764,3959,KEELE ST AT BROADOAKS DR
765,8896,WILSON HEIGHTS BLVD AT CODSELL AVE
766,11120,41 SHORNCLIFFE RD
767,1876,DAVISVILLE AVE AT MT PLEASANT RD
768,7166,SHEPPARD AVE EAST AT BROWNSPRING RD
769,4249,KINGSTON RD AT OVERTURE RD
770,5819,MT PLEASANT RD AT GLENGOWAN RD
771,10833,MAYBROOK DR AT MCNICOLL AVE NORTH SIDE
772,7774,GENTIAN DR AT WELLESWORTH DR
773,4092,KENNEDY RD AT JADE ST
775,3594,FINCH AVE WEST AT GRANTBROOK ST WEST SIDE
776,4820,BRIMLEY RD AT DENNETT DR
779,4557,QUEEN ST EAST AT COXWELL AVE
780,11549,FINCHDENE SQ AT TORHAM PL
781,38,ANNETTE ST AT KEELE ST
782,6149,UPHILL AVE AT CHURCH ST
784,4118,KENNEDY RD AT RANSTONE GARDENS
785,1210,KENNEDY RD AT PARK ST
786,2725,ISLINGTON AVE AT NORDIN AVE
787,1371,NEILSON RD AT OPP WALKWAY TO BLACKWATER CRES & KESSACK CRT
788,9245,SHORNCLIFFE RD AT DUNDAS ST WEST
789,8112,SLOANE AVE AT TROPHY DR
790,6068,SHEPPARD AVE WEST AT JANE ST
791,14083,NIGHTSTAR RD AT POGONIA ST
792,2959,MORNINGSIDE AVE AT MILNER AVE
794,1192,JONES AVE AT QUEEN ST EAST NORTH SIDE
795,4987,DIXON RD AT ISLINGTON AVE EAST SIDE
796,3674,GREENWOOD AVE AT DUNDAS ST EAST
797,2779,KINGSTON RD AT GLEN MANOR DR
799,937,DAVENPORT RD AT DUFFERIN ST
800,1126,GERRARD ST EAST AT NORWOOD RD
802,3729,HULLMAR DR AT BAMFORD CRES
803,4296,KIPLING AVE AT BYLAND RD
804,4077,KENNEDY RD AT DANCY AVE NORTH SIDE
805,7387,VAN HORNE AVE AT HOBART DR
806,2277,EGLINTON AVE EAST AT JONESVILLE CRES EAST SIDE
807,3872,JANE ST AT CHURCH ST
808,1555,ST CLAIR AVE EAST AT BRIMLEY RD WEST SIDE
809,10686,ST CLAIR AVE EAST AT CLIFTON RD
810,4623,ST CLAIR AVE EAST AT DANFORTH RD
811,1559,ST CLAIR AVE EAST AT ELFREDA BLVD
812,1562,ST CLAIR AVE EAST AT KENNEDY RD
813,3122,ST CLAIR AVE EAST AT VICTORIA PARK AVE
814,8153,ST CLAIR AVE WEST AT BATHURST ST
815,11579,ST CLAIR AVE WEST AT CALEDONIA RD EAST SIDE
816,11715,ST CLAIR AVE WEST AT CALEDONIA RD
817,13340,ST CLAIR AVE WEST AT GUNNS RD
818,11620,ST CLAIR AVE WEST AT LANSDOWNE AVE
819,13341,ST CLAIR AVE WEST AT OLD STOCK YARDS RD
820,13343,ST CLAIR AVE WEST AT RUNNYMEDE RD
824,4728,ST DENNIS DR AT LINKWOOD LANE
825,10263,ST DENNIS DR AT LINKWOOD LANE
827,13467,ST BASIL THE GREAT COLLEGE SCHOOL
828,11413,STEELES AVE EAST AT BIRCHMOUNT RD WEST SIDE
829,9346,STEELES AVE EAST AT BIRCHMOUNT RD
830,14219,211 STEELES AVE EAST (BREBEUF COLLEGE SCHOOL)
831,8216,STEELES AVE EAST AT DUDLEY AVE
832,11606,STEELES AVE EAST AT MIDDLEFIELD RD
833,12092,STEELES AVE EAST AT QUAIL VALLEY DR
834,9344,STEELES AVE EAST AT WARDEN AVE
835,8257,1750 STEELES AVE WEST
837,1585,STEELES AVE WEST AT BATHURST ST EAST SIDE
839,11522,STEELES AVE WEST AT HIGHWAY 27 EAST SIDE
840,8285,STEELES AVE WEST AT ISLINGTON AVE LOOP
841,12088,STEELES AVE WEST AT JANE ST
842,1590,STEELES AVE WEST AT KEELE ST EAST SIDE
843,9835,STEELES AVE WEST AT MARTIN GROVE RD WEST SIDE
844,9825,STEELES AVE WEST AT MARTIN GROVE RD
845,1603,STEELES AVE WEST AT VILLAGE GATE
846,8316,STEELES AVE WEST AT WESTON RD
847,7373,STEPHEN DR AT THE QUEENSWAY NORTH SIDE
848,11991,STRACHAN AVE AT FLEET ST NORTH SIDE
849,11992,STRACHAN AVE AT FLEET ST
850,11247,RAAB BLVD AT HOSPITAL RD WEST SIDE (K & L WINGS)
851,11248,RAAB BLVD AT HOSPITAL RD WEST SIDE (K & L WINGS)
852,11996,WELLNESS WAY AT HOSPITAL RD (ODETTE CANCER CENTRE)
853,11997,WELLNESS WAY AT HOSPITAL RD (ODETTE CANCER CENTRE)
854,1729,HOSPITAL RD AT WELLNESS WAY EAST SIDE (SUNNYBROOK MAIN ENT)
855,9394,HOSPITAL RD AT WELLNESS WAY EAST SIDE (SUNNYBROOK MAIN ENT)
856,9911,TAPSCOTT RD AT FINCH AVE EAST NORTH SIDE
857,11878,TRANSIT RD AT WILSON AVE NORTH SIDE
858,11879,TRANSIT RD AT WILSON AVE
860,4678,TUSCAN GATE AT ST REGIS CRES (SOUTH)
862,10888,UNIVERSITY AVE AT DUNDAS ST WEST NORTH SIDE (ST PATRICK STN)
864,10610,UNIVERSITY AVE AT GERRARD ST WEST
